Time Ia Ib Ic Ia Ib Ic
1.0000000000000001e-05 8.659739592076221e-08 -1.9099388737231493e-05 1.9014123608940281e-05 8.659739592076221e-08 -1.9099388737231493e-05 1.9014123608940281e-05
2.0000000000000002e-05 1.6475709685437323e-07 -1.9127810446661897e-05 1.8971491044794675e-05 1.6475709685437323e-07 -1.9127810446661897e-05 1.8971491044794675e-05
3.0000000000000004e-05 2.4424906541753444e-07 -1.9170443010807503e-05 1.8928858480649069e-05 2.4424906541753444e-07 -1.9170443010807503e-05 1.8928858480649069e-05
4.0000000000000003e-05 3.177458296477198e-07 -1.9227286429668311e-05 1.8900436771218665e-05 3.177458296477198e-07 -1.9227286429668311e-05 1.8900436771218665e-05
5.0000000000000002e-05 4.1433523279010842e-07 -1.9269918993813917e-05 1.8857804207073059e-05 4.1433523279010842e-07 -1.9269918993813917e-05 1.8857804207073059e-05
6.0000000000000002e-05 4.8894222004491894e-07 -1.9284129848529119e-05 1.8800960788212251e-05 4.8894222004491894e-07 -1.9284129848529119e-05 1.8800960788212251e-05
7.0000000000000007e-05 5.808686864838819e-07 -1.9326762412674725e-05 1.8758328224066645e-05 5.808686864838819e-07 -1.9326762412674725e-05 1.8758328224066645e-05
8.0000000000000007e-05 6.6568972556524386e-07 -1.9383605831535533e-05 1.8729906514636241e-05 6.6568972556524386e-07 -1.9383605831535533e-05 1.8729906514636241e-05
9.0000000000000006e-05 7.3985262361020432e-07 -1.9412027540965937e-05 1.8673063095775433e-05 7.3985262361020432e-07 -1.9412027540965937e-05 1.8673063095775433e-05
0.0001 8.3222317925901734e-07 -1.9454660105111543e-05 1.8630430531629827e-05 8.3222317925901734e-07 -1.9454660105111543e-05 1.8630430531629827e-05
0.00011 9.0771834493352799e-07 -1.9497292669257149e-05 1.8573587112769019e-05 9.0771834493352799e-07 -1.9497292669257149e-05 1.8573587112769019e-05
0.00012 9.9920072216264089e-07 -1.9525714378687553e-05 1.8545165403338615e-05 9.9920072216264089e-07 -1.9525714378687553e-05 1.8545165403338615e-05
0.00013000000000000002 1.0764722446765518e-06 -1.9568346942833159e-05 1.8502532839193009e-05 1.0764722446765518e-06 -1.9568346942833159e-05 1.8502532839193009e-05
0.00014000000000000001 1.1661782650662644e-06 -1.9610979506978765e-05 1.8445689420332201e-05 1.1661782650662644e-06 -1.9610979506978765e-05 1.8445689420332201e-05
0.00015000000000000001 1.2398970739013748e-06 -1.9653612071124371e-05 1.8417267710901797e-05 1.2398970739013748e-06 -1.9653612071124371e-05 1.8417267710901797e-05
0.00016000000000000001 1.3224976669334865e-06 -1.9682033780554775e-05 1.8360424292040989e-05 1.3224976669334865e-06 -1.9682033780554775e-05 1.8360424292040989e-05
