Time	VR	Vcn	Vbn	Van	Vbc	Vac	Vab	Vca
1e-005	-6.82668e-010	103.696	-104.149	0.452388	-207.845	103.244	104.601	-103.244
2e-005	-6.8232e-010	103.468	-104.372	0.90477	-207.84	102.563	105.277	-102.563
3e-005	-6.81965e-010	103.238	-104.595	1.35714	-207.833	101.881	105.952	-101.881
4e-005	-6.81595e-010	103.006	-104.816	1.80949	-207.822	101.197	106.625	-101.197
5e-005	-6.81219e-010	102.774	-105.035	2.26181	-207.809	100.512	107.297	-100.512
6e-005	-6.80828e-010	102.539	-105.254	2.7141	-207.793	99.8253	107.968	-99.8253
7e-005	-6.80451e-010	102.304	-105.47	3.16636	-207.774	99.1373	108.636	-99.1373
8e-005	-6.80039e-010	102.067	-105.685	3.61857	-207.752	98.4479	109.304	-98.4479
9e-005	-6.79641e-010	101.828	-105.899	4.07072	-207.726	97.7572	109.969	-97.7572
0.0001	-6.79208e-010	101.588	-106.111	4.52282	-207.698	97.065	110.633	-97.065
0.00011	-6.78774e-010	101.346	-106.321	4.97486	-207.667	96.3714	111.296	-96.3714
0.00012	-6.78334e-010	101.103	-106.53	5.42682	-207.633	95.6765	111.957	-95.6765
0.00013	-6.77886e-010	100.859	-106.738	5.87871	-207.597	94.9802	112.616	-94.9802
0.00014	-6.77424e-010	100.613	-106.944	6.33051	-207.557	94.2826	113.274	-94.2826
0.00015	-6.76962e-010	100.366	-107.148	6.78222	-207.514	93.5836	113.93	-93.5836
0.00016	-6.76494e-010	100.117	-107.351	7.23384	-207.468	92.8833	114.585	-92.8833
0.00017	-6.75996e-010	99.867	-107.552	7.68536	-207.419	92.1817	115.238	-92.1817
0.00018	-6.75485e-010	99.6155	-107.752	8.13676	-207.368	91.4787	115.889	-91.4787
0.00019	-6.7498e-010	99.3625	-107.951	8.58805	-207.313	90.7745	116.539	-90.7745
0.0002	-6.74461e-010	99.1082	-108.147	9.03922	-207.256	90.069	117.187	-90.069
0.00021	-6.73943e-010	98.8524	-108.343	9.49026	-207.195	89.3622	117.833	-89.3622
0.00022	-6.7341e-010	98.5952	-108.536	9.94116	-207.132	88.6541	118.478	-88.6541
0.00023	-6.72848e-010	98.3367	-108.729	10.3919	-207.065	87.9447	119.121	-87.9447
0.00024	-6.72294e-010	98.0767	-108.919	10.8425	-206.996	87.2342	119.762	-87.2342
0.00025	-6.71733e-010	97.8153	-109.108	11.293	-206.924	86.5223	120.401	-86.5223
0.00026	-6.7115e-010	97.5526	-109.296	11.7433	-206.848	85.8093	121.039	-85.8093
0.00027	-6.70582e-010	97.2884	-109.482	12.1934	-206.77	85.095	121.675	-85.095
0.00028	-6.69971e-010	97.0229	-109.666	12.6434	-206.689	84.3795	122.31	-84.3795
0.00029	-6.69367e-010	96.756	-109.849	13.0932	-206.605	83.6628	122.942	-83.6628
0.0003	-6.68749e-010	96.4877	-110.03	13.5428	-206.518	82.945	123.573	-82.945
0.00031	-6.68123e-010	96.2181	-110.21	13.9922	-206.428	82.2259	124.202	-82.2259
0.00032	-6.67505e-010	95.9471	-110.388	14.4414	-206.336	81.5057	124.83	-81.5057
0.00033	-6.66859e-010	95.6747	-110.565	14.8904	-206.24	80.7843	125.455	-80.7843
0.00034	-6.66212e-010	95.4009	-110.74	15.3392	-206.141	80.0618	126.079	-80.0618
0.00035	-6.65544e-010	95.1258	-110.914	15.7877	-206.039	79.3381	126.701	-79.3381
0.00036	-6.64876e-010	94.8494	-111.085	16.2361	-205.935	78.6133	127.322	-78.6133
